GBIF Taxon key,GBIF scientific name,rank,kingdom_name,provided species name,speciesplusID
2480477,"Butastur indicus (Gmelin, 1788)",SPECIES,Animalia,Butastur indicus,3124
2260002,"Fungiacyathus fissidiscus Cairns & Zibrowius, 1997",SPECIES,Animalia,Fungiacyathus fissidiscus,3125
5184749,"Symphyllia erythraea (Klunzinger, 1879)",SPECIES,Animalia,Symphyllia erythraea,3126
5141196,"Graphium stresemanni (Rothschild, 1916)",SPECIES,Animalia,Graphium stresemanni,3130
2259597,"Eguchipsammia serpentina (Vaughan, 1907)",SPECIES,Animalia,Eguchipsammia serpentina,3131
5227652,"Sphenodon guntheri Buller, 1877",SPECIES,Animalia,Sphenodon guntheri,3133
2476607,"Phaethornis guy (Lesson, 1833)",SPECIES,Animalia,Phaethornis guy,3134
2441046,"Budorcas taxicolor Hodgson, 1850",SPECIES,Animalia,Budorcas taxicolor,3135
5227194,"Cordylus niger Cuvier, 1829",SPECIES,Animalia,Cordylus niger,3137
2480455,"Haliaeetus leucogaster (Gmelin, 1788)",SPECIES,Animalia,Haliaeetus leucogaster,3138
2436371,"Pithecia aequatorialis Hershkovitz, 1987",SPECIES,Animalia,Pithecia aequatorialis,3139
2264328,"Heliopora coerulea (Pallas, 1766)",SPECIES,Animalia,Heliopora coerulea,3140
5221463,"Naultinus poecilochlorus Robb, 1980",SPECIES,Animalia,Naultinus poecilochlorus,3141
2265463,"Systemapora ornata Cairns, 1991",SPECIES,Animalia,Systemapora ornata,3142
2260455,"Goniopora savignyi Dana, 1846",SPECIES,Animalia,Goniopora savignii,3144
2495389,"Alectroenas madagascariensis (Linnaeus, 1766)",SPECIES,Animalia,Alectroenas madagascariensis,3145
5184629,"Acropora longicyathus (Milne Edwards & Haime, 1860)",SPECIES,Animalia,Acropora longicyathus,3146
2480585,"Accipiter brachyurus (E. P. Ramsay, 1880)",SPECIES,Animalia,Accipiter brachyurus,3149
5184807,"Leptoseris incrustans (Quelch, 1886)",SPECIES,Animalia,Leptoseris incrustans,3150
2448895,"Calumma boettgeri Boulenger, 1888",SPECIES,Animalia,Calumma boettgeri,3151
2259296,"Foveolocyathus alternans (Cairns & Parker, 1992)",SPECIES,Animalia,Foveolocyathus alternans,3153
2470852,"Varanus yuwonoi Harvey & Barker, 1998",SPECIES,Animalia,Varanus yuwonoi,3154
2259519,"Echinophyllia maxima Moll & Best, 1984",SPECIES,Animalia,Echinophyllia maxima,3156
2259952,"Montipora orientalis Nemenzo, 1967",SPECIES,Animalia,Montipora orientalis,3157
2494001,"Malimbus cassini (Elliot, 1859)",SPECIES,Animalia,Malimbus cassini,3158
5201055,"Hippocampus colemani Kuiter, 2003",SPECIES,Animalia,Hippocampus colemani,3159
2260095,"Leptastrea inaequalis Klunzinger, 1879",SPECIES,Animalia,Leptastrea inaequalis,3160
5791537,"Colophon cameroni Barnard, 1929",SPECIES,Animalia,Colophon cameroni,3161
4266880,"Saguinus pileatus I. Geoffroy & Deville, 1848",SPECIES,Animalia,Saguinus pileatus,3162
2476276,"Augastes lumachella (Lesson, 1839)",SPECIES,Animalia,Augastes lumachella,3164
2260082,"Favites pentagona (Esper, 1794)",SPECIES,Animalia,Favites pentagona,3165
2434942,"Leopardus geoffroyi (d'Orbigny & Gervais, 1844)",SPECIES,Animalia,Leopardus geoffroyi,3167
2480375,"Harpyhaliaetus coronatus (Vieillot, 1817)",SPECIES,Animalia,Harpyhaliaetus coronatus,3169
2430479,"Limnonectes macrodon (DumÌöril & Bibron, 1841)",SPECIES,Animalia,Limnonectes macrodon,3170
2476786,"Boissonneaua jardini (Bourcier, 1851)",SPECIES,Animalia,Boissonneaua jardini,3171
2448912,"Calumma guibei Hillenius, 1959",SPECIES,Animalia,Calumma guibei,3173
2480538,"Buteo platypterus (Vieillot, 1823)",SPECIES,Animalia,Buteo platypterus,3174
2265494,"Lepidopora polystichopora Cairns, 1985",SPECIES,Animalia,Lepidopora polystichopora,3176
2258156,"Cladopathes plumosa Brook, 1889",SPECIES,Animalia,Cladopathes plumosa,3179
2493487,"Garrulax formosus (Verreaux, 1869)",SPECIES,Animalia,Garrulax formosus,3181
2265341,"Stylaster papuensis Zibrowius, 1981",SPECIES,Animalia,Stylaster papuensis,3182
5232187,"Otus choliba (Vieillot, 1817)",SPECIES,Animalia,Otus choliba,3184
2449158,"Bradypodion setaroi Raw, 1976",SPECIES,Animalia,Bradypodion setaroi,3185
2440394,"Mesoplodon hectori (Gray, 1871)",SPECIES,Animalia,Mesoplodon hectori,3188
2436589,"Lophocebus albigena (Gray, 1850)",SPECIES,Animalia,Lophocebus albigena,3189
6472596,"Caryophyllia (Caryophyllia) aspera Kitahara, Cairns & Miller, 2010",SPECIES,Animalia,Caryophyllia aspera,3190
2265468,"Errina dabneyi (PourtalÌÜs, 1871)",SPECIES,Animalia,Errina dabneyi,3191
2449182,"Bradypodion gutturale Smith, 1849",SPECIES,Animalia,Bradypodion gutturale,3193
2422132,"Nimbaphrynoides occidentalis (Angel, 1943)",SPECIES,Animalia,Nimbaphrynoides occidentalis,3194
2429052,"Epipedobates narinensis Mueses-Cisneros, Cepeda-Quilindo & Moreno-Quintero, 2008",SPECIES,Animalia,Epipedobates narinensis,3197
5706984,"Pteropus pelewensis K. Andersen, 1908",SPECIES,Animalia,Pteropus pelewensis,3198
2443091,"Graptemys pseudogeographica Gray, 1831",SPECIES,Animalia,Graptemys pseudogeographica,3199
2260252,"Flabellum lamellulosum Alcock, 1902",SPECIES,Animalia,Flabellum lamellulosum,3200
2259049,"Crispatotrochus cornu (Moseley, 1881)",SPECIES,Animalia,Crispatotrochus cornu,3202
2431879,"Tylototriton asperrimus Unterstein, 1930",SPECIES,Animalia,Tylototriton asperrimus,3203
2470704,"Varanus dumerilii Schlegel, 1839",SPECIES,Animalia,Varanus dumerilii,3204
2436291,"Tupaia splendidula Gray, 1865",SPECIES,Animalia,Tupaia splendidula,3205
5228474,"Colibri coruscans (Gould, 1846)",SPECIES,Animalia,Colibri coruscans,3207
2476493,"Amazilia versicolor (Vieillot, 1818)",SPECIES,Animalia,Amazilia versicolor,3210
5229201,"Bostrychia rara (Rothschild, Hartert & O. Kleinschmidt, 1897)",SPECIES,Animalia,Bostrychia rara,3211
5221476,"Naultinus manukanus Mccann, 1955",SPECIES,Animalia,Naultinus manukanus,3212
2308887,"Hirudo medicinalis Linnaeus, 1758",SPECIES,Animalia,Hirudo medicinalis,3213
2265289,"Stenohelia profunda Moseley, 1881",SPECIES,Animalia,Stenohelia profunda,3214
2259748,"Ctenella chagius Matthai, 1928",SPECIES,Animalia,Ctenella chagius,3215
2260274,"Flabellum daphnense Durham & Barnard, 1952",SPECIES,Animalia,Flabellum daphnense,3216
5782930,"Achatinella sowerbyana Pfeiffer, 1855",SPECIES,Animalia,Achatinella sowerbyana,3217
5220128,"Axis porcinus (Zimmermann, 1780)",SPECIES,Animalia,Axis porcinus,3218
2479817,"Pyrrhura devillei (Massena & Souance, 1854)",SPECIES,Animalia,Pyrrhura devillei,3219
2476852,"Selasphorus sasin (Lesson, 1829)",SPECIES,Animalia,Selasphorus sasin,3220
2473479,"Syrmaticus humiae (Hume, 1881)",SPECIES,Animalia,Syrmaticus humiae,3223
2479089,"Aratinga acuticaudata (Vieillot, 1818)",SPECIES,Animalia,Aratinga acuticaudata,3224
2287988,"Potamilus capax (Green, 1832)",SPECIES,Animalia,Potamilus capax,3226
5184526,"Stylophora mordax (Dana, 1846)",SPECIES,Animalia,Stylophora mordax,3227
2481094,"Phalcoboenus carunculatus Des Murs, 1853",SPECIES,Animalia,Phalcoboenus carunculatus,3228
2465254,"Candoia bibroni DumÌöril & Bibron, 1844",SPECIES,Animalia,Candoia bibroni,5670
2258215,"Antipathes gallensis Thomson & Simpson, 1905",SPECIES,Animalia,Antipathes gallensis,3229
2436401,"Callicebus brunneus (Wagner, 1842)",SPECIES,Animalia,Callicebus brunneus,3230
5959118,"Bubo virginianus (Gmelin, 1788)",SPECIES,Animalia,Bubo virginianus,3231
2479053,"Northiella haematogaster (Gould, 1838)",SPECIES,Animalia,Northiella haematogaster,3235
2440217,"Dendrolagus inustus Måüller, 1840",SPECIES,Animalia,Dendrolagus inustus,3236
