id,vernacularName,language,locality
1665,Xique-xique-das-pedras; Chique-chique; Cheque-cheque.,PORTUGUES,Nordeste do Brasil
1667,Facheiro,PORTUGUES,Nordeste do Brasil
1668,Facheiro; Facheiro-azul; Mandacaru-de-facho,PORTUGUES,Nordeste do Brasil
1670,Calumbi,PORTUGUES,Nordeste do Brasil
1671,Facheiro; Facheiro-fino; Mandacaru-de-veado,PORTUGUES,Nordeste do Brasil
1674,Caxacubri; Mandacaru-de-laço,PORTUGUES,Nordeste do Brasil
1678,Catana-de-jacaré,PORTUGUES,Nordeste do Brasil
1680,Espinho-de-Santo-Antônio,PORTUGUES,Nordeste do Brasil
1680,Flor-de-cera,PORTUGUES,Nordeste do Brasil
1680,Quiabento,PORTUGUES,Nordeste do Brasil
1683,Enxerto; Conambaia; Tripa-de-galinha,PORTUGUES,Nordeste do Brasil
1701,Dedinho,PORTUGUES,Nordeste do Brasil
1707,Enxerto,PORTUGUES,Nordeste do Brasil
1730,Mandacaru-da-serra,PORTUGUES,Nordeste do Brasil
1751,Rabo-de-rato; Cipó-de-espinhos; Rabo-de-espinhos,PORTUGUES,Nordeste do Brasil
1752,Rabo-de-rato; Rabo-de-gato; Cipó-de-espinho; Quipá-voador; Trança-perna,PORTUGUES,Nordeste do Brasil
1753,Quipá; Guibá; Guipá; Palmatória; Palmatória-miúda; Iviro; Gogóia; Palma-de-ovelha,PORTUGUES,Nordeste do Brasil
1754,Palmatória; Palmatória-de-espinho; Palma-de-espinhos; Palma; Palminha; Quipá-de-espinho; Quipá; Palmatória-de-quipá; Rabo de onça,PORTUGUES,Nordeste do Brasil
1757,Palma,PORTUGUES,Nordeste do Brasil
1762,Coroa-de-frade; cabeça de frade,PORTUGUES,Sudeste do Brasil
1766,Quiabo-da-lapa,PORTUGUES,Sudeste do Brasil
3940,Brinco de princesa,PORTUGUES,
3955,Brinco de princesa,PORTUGUES,
3956,Brinco de princesa,PORTUGUES,
4046,cruz-de-malta,PORTUGUES,sudeste
4049,chilillo,ESPANHOL,Honduras (Nelson & Romero 4615)
4071,canario de agua,ESPANHOL,Guatemala
4082,crista-de-galo,PORTUGUES,nordeste
4090,crista-de-galinha,PORTUGUES,sudeste
4092,crista-de-galo,PORTUGUES,sudeste
4097,canela-de-jacomi,PORTUGUES,centro-oeste
4097,erva-de-gado,PORTUGUES,sudeste
4102,taipoca,PORTUGUES,nordeste
4103,timbuim,PORTUGUES,nordeste
4110,anil-bravo,PORTUGUES,sudeste
4121,melosa,PORTUGUES,
4121,melosa-de-boi,PORTUGUES,Ceará
4260,Golfe,PORTUGUES,Nordeste
4262,Golfe,PORTUGUES,nordeste
4263,Golfe,PORTUGUES,centro-oeste
4266,língua-de-vaca,PORTUGUES,sul; sudeste
4267,Golfe,PORTUGUES,Nordeste
4268,golfe,PORTUGUES,nordeste
4268,lingua de vaca,PORTUGUES,sudeste
4273,Golfe,PORTUGUES,nordeste
4300,Bico de Nambu,PORTUGUES,
4309,Mofungo-rabudo,PORTUGUES,Sul
4310,Mofungo-gigante,PORTUGUES,Sul
4312,ançarinha-branca,PORTUGUES,Sul
4312,erva-formigueira-branca,PORTUGUES,Sul
4313,mastruz,PORTUGUES,Acre
4317,thoronoé,PORTUGUES,
4319,Picão-de-tropeiro; solidonia,PORTUGUES,
4320,corango-veludo,PORTUGUES,Sul
4330,canela-Velha e Anador,PORTUGUES,Nordeste
4330,Ginseng-brasileiro,PORTUGUES,Sul
4331,Corango-de-seda,PORTUGUES,Sul
4332,Corango-de-batata,PORTUGUES,Sul
4381,acajaiba,PORTUGUES,Brasil
4381,caju,PORTUGUES,Brasil
4381,caju-anão,PORTUGUES,Brasil
4381,cajueiro,PORTUGUES,Brasil
4383,aroeira-rajada,PORTUGUES,Minas Gerais
4383,guarubu-violeta,PORTUGUES,Espírito Santo
4383,itapicuru-ferreiro,PORTUGUES,Nordeste
4383,mucuri,PORTUGUES,Nordeste
4384,aroeira-d'água,PORTUGUES,Mato Grosso do Sul
4384,Brito,PORTUGUES,Pernambuco
4384,sete cascas,PORTUGUES,Pernambuco
4384,ubatan,PORTUGUES,Sudeste
