id,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,name_status,cites_listing,cites_listing_original
3284,Animalia,Chordata,Reptilia,Sauria,Scincidae,Tiliqua,scincoides,A,NC,NC
3285,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Prionodon,linsang,A,II,II
3286,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lafresnaya,lafresnayi,A,II,II
3287,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Cladopsammia,eguchii,A,II,II
3288,Animalia,Cnidaria,Anthozoa,Scleractinia,Astrocoeniidae,Stylocoeniella,cocosensis,A,II,II
3289,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia,concreta,A,II,II
3290,Animalia,Chordata,Reptilia,Serpentes,Boidae,Eryx,johnii,A,II,II
3291,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lagonosticta,larvata,A,NC,NC
3292,Animalia,Chordata,Reptilia,Serpentes,Tropidophiidae,Tropidophis,maculatus,A,II,II
3293,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Furcifer,pardalis,A,II,II
3294,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Kinyongia,oxyrhina,A,II,II
3296,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Polymyces,montereyensis,A,II,II
3297,Animalia,Chordata,Mammalia,Scandentia,Tupaiidae,Tupaia,montana,A,II,II
3298,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Trioceros,fuelleborni,A,II,II
3299,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,amboinensis,A,II,II
3300,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Tylototriton,vietnamensis,A,NC,NC
3301,Animalia,Chordata,Mammalia,Rodentia,Muridae,Pseudomys,novaehollandiae,A,NC,NC
3302,Animalia,Chordata,Aves,Galliformes,Phasianidae,Francolinus,swierstrai,A,NC,NC
3304,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,ruthenus,A,II,II
3305,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Galaxea,acrhelia,A,II,II
3306,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Distichopora,irregularis,A,II,II
3307,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,dubius,A,II,II
3308,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercocebus,agilis,A,II,II
3309,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,ascalaphus,A,II,II
3310,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,dubia,A,II,II
3312,Animalia,Chordata,Reptilia,Testudines,Emydidae,Glyptemys,insculpta,A,II,II
3313,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Kinyongia,fischeri,A,II,II
3314,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Onychogalea,lunata,A,NC,NC
3315,Animalia,Cnidaria,Anthozoa,Scleractinia,Turbinoliidae,Idiotrochus,kikutii,A,II,II
3316,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Pteropathes,fragilis,A,II,II
3317,Animalia,Mollusca,Bivalvia,Unionoida,Unionidae,Unio,nickliniana,A,I,I
3318,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,bistriatus,A,III,III
3320,Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Scolymia,australis,A,II,II
3321,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,finschii,A,II,II
3323,Animalia,Chordata,Aves,Gruiformes,Otididae,Ardeotis,arabs,A,II,II
3327,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Feresa,attenuata,A,II,II
3328,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,nubicola,A,II,II
3329,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Favia,favus,A,II,II
3332,Animalia,Chordata,Mammalia,Rodentia,Muridae,Notomys,cervinus,A,NC,NC
3333,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nestor,meridionalis,A,II,II
3335,Animalia,Chordata,Reptilia,Testudines,Pelomedusidae,Pelusios,castaneus,A,NC,NC
3336,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Anthracothorax,mango,A,II,II
3337,Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiacyathidae,Fungiacyathus,crispus,A,II,II
3339,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Stylaster,multiplex,A,II,II
3340,Animalia,Cnidaria,Anthozoa,Scleractinia,Oculinidae,Madrepora,arbuscula,A,II,II
3341,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Cladocora,pacifica,A,II,II
3342,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Errinopora,stylifera,A,II,II
3345,Animalia,Cnidaria,Anthozoa,Scleractinia,Flabellidae,Falcatoflabellum,raoulensis,A,II,II
3346,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Troides,criton,A,II,II
3347,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Stylaster,roseus,A,II,II
3348,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,nippon,A,I,I
3349,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,confusa,A,II,II
3350,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,brasilianum,A,II,II
3351,Animalia,Chordata,Reptilia,Serpentes,Pythonidae,Morelia,kinghorni,A,II,II
3352,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Melierax,metabates,A,II,II
3354,Animalia,Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,rubra,A,II,II
3355,Animalia,Cnidaria,Hydrozoa,Stylasterina,Stylasteridae,Lepidopora,microstylus,A,II,II
3356,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,sordidus,A,II,II
3357,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,sinensis,A,II,II
3358,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Kinyongia,vanheygeni,A,II,II
3359,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Calumma,guillaumeti,A,II,II
3360,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,betsileo,A,II,II
3361,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emys,orbicularis,A,NC,NC
3362,Animalia,Chordata,Reptilia,Sauria,Chamaeleonidae,Calumma,malthe,A,II,II
3363,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Astreopora,listeri,A,II,II
